商品コード,商品名,略称,標準単価,店舗単価,入数,適用開始日,販売終了日,凍結日,研修資格コード,研修資格,メーカーコード,メーカー,種別コード,種別
18956500,亀田製　ぽたぽた焼きミニ,亀田製　ぽたぽた焼きミニ,100,69,60,2015/06/01,,,,,,,,
18956600,亀田製　磯海老あられ,亀田製　磯海老あられ,100,69,80,2015/06/01,,,,,,,,
18956700,亀田製　こつぶあげ,亀田製　こつぶあげ,100,69,80,2015/06/01,,,,,,,,
18956800,東洋水　緑のたぬき天そば,東洋水　緑のたぬき天そば,200,132,12,2015/06/01,,,,,,,,
18957000,東洋水　ワンタンシーフード味,東洋水　ワンタンシーフード味,110,76,12,2015/06/01,,,,,,,,
18957100,東洋水　おそば屋さんのまめ鴨だしそば,東洋水　おそば屋さんのまめ鴨だしそば,110,76,12,2015/06/01,,,,,,,,
18957200,ブルボ　プチうすしお,ブルボ　プチうすしお,100,69,80,2015/06/01,,,,,,,,
18957300,ブルボ　プチしっとりチョコ,ブルボ　プチしっとりチョコ,100,69,80,2015/06/01,,,,,,,,
18957400,ブルボ　濃厚チョコブラウニー,ブルボ　濃厚チョコブラウニー,100,70,108,2015/06/01,,,,,,,,
18957500,ブルボ　ふんわりバームホワイトチョコ,ブルボ　ふんわりバームホワイトチョコ,100,70,108,2015/06/01,,,,,,,,
18957900,井村屋　ミニようかん（煉）,井村屋　ミニようかん（煉）,100,56,120,2015/06/01,,,,,,,,
18958000,井村屋　ミニようかん（小倉）,井村屋　ミニようかん（小倉）,100,56,120,2015/06/01,,,,,,,,
18958100,井村屋　ミニようかん（抹茶）,井村屋　ミニようかん（抹茶）,100,56,120,2015/06/01,,,,,,,,
18914000,配置用）森のひとしずくPET,配置用）森のひとしずくPET,151,68,24,2015/06/01,,,,,,,,
18914200,サンガ　伊賀の天然水炭酸水,サンガ　伊賀の天然水炭酸水,100,60,24,2015/06/01,,,,,,,,
18914300,勝水　郷の恵み天然水,勝水　郷の恵み天然水,100,51,24,2015/06/01,,,082,資格,,,,
18914400,ポッカ　グリーンシャワー,ポッカ　グリーンシャワー,100,60,24,2015/06/01,,,,,,,,
18931600,サンガ　直火無糖珈琲１８５缶,サンガ　直火無糖珈琲１８５缶,80,41,30,2015/06/01,,,,,,,,
18931700,サンガ　直火微糖珈琲１８５缶,サンガ　直火微糖珈琲１８５缶,80,41,30,2015/06/01,,,,,,,,
18931800,サンガ　まろやか・カフェ・ラテ２８０缶,サンガ　まろやか・カフェ・ラテ２８０缶,100,60,24,2015/06/01,,,,,,,,
18931900,配置用）ドリップカフェスペシャルブレンド,配置用）ドリップカフェスペシャルブレンド,70,34,10,2015/06/01,,,,,,,,
18932000,配置用）ドリップカフェロイヤルブレンド,配置用）ドリップカフェロイヤルブレンド,70,34,10,2015/06/01,,,,,,,,
18932400,ポッカ　アロマックスプレミアムＧ１７０缶,ポッカ　アロマックスプレミアムＧ１７０缶,100,60,30,2015/06/01,,,,,,,,
18932500,ドトー　レアル４００ボトル缶,ドトー　レアル４００ボトル缶,130,84,24,2015/06/01,,,082,資格,,,,
18932600,ドトー　レアル260ボトル缶,ドトー　レアル260ボトル缶,100,65,24,2015/06/01,,,082,資格,,,,
18922700,サンガ　あなたの抹茶入りお茶,サンガ　あなたの抹茶入りお茶,100,51,24,2015/06/01,,,,,,,,
18922800,サンガ　あなたのお茶,サンガ　あなたのお茶,100,51,24,2015/06/01,,,,,,,,
18922900,サンガ　あなたの麦茶,サンガ　あなたの麦茶,100,51,24,2015/06/01,,,,,,,,
18923100,サンガ　あなたの烏龍茶,サンガ　あなたの烏龍茶,100,51,24,2015/06/01,,,,,,,,
18923500,三井農　ＷＮアップルＴＢ４袋入,三井農　ＷＮアップルＴＢ４袋入,100,65,100,2015/06/01,2016/06/30,2019/06/30,,,,,,
18923600,三井農　ＷＮミントＴＢ４袋入,三井農　ＷＮミントＴＢ４袋入,100,65,100,2015/06/01,2016/06/30,2019/06/30,,,,,,
18923700,三井農　ＷＮブルーベリーＴＢ４袋入,三井農　ＷＮブルーベリーＴＢ４袋入,100,65,100,2015/06/01,2016/06/30,2019/06/30,,,,,,
18923800,サンガ　グランティーストレート,サンガ　グランティーストレート,100,60,24,2015/06/01,,,,,,,,
18923900,サンガ　グランティーレモン,サンガ　グランティーレモン,100,60,24,2015/06/01,,,,,,,,
18924000,サンガ　グランティー無糖,サンガ　グランティー無糖,100,60,24,2015/06/01,,,,,,,,
18924200,日本コ　爽健美茶,日本コ　爽健美茶,150,90,24,2015/06/01,,,,,,,,
18924300,日本コ　綾鷹,日本コ　綾鷹,150,90,24,2015/06/01,,,,,,,,
18924400,ポッカ　カフェドクリエアイスティー,ポッカ　カフェドクリエアイスティー,100,60,24,2015/06/01,,,,,,,,
18924500,ポッカ　玉露入りお茶ホット用,ポッカ　玉露入りお茶ホット用,100,60,24,2015/06/01,,,,,,,,
18924600,ポッカ　ほうじ茶,ポッカ　ほうじ茶,100,60,24,2015/06/01,,,,,,,,
04174100,配置用）Ｓ．Ｏ．Ｓ,配置用）Ｓ．Ｏ．Ｓ,324,117,1,2015/06/01,,,,,,,,
04174200,配置用）台所用スポンジ抗菌タイプローズ,配置用）台所用スポンジ抗菌タイプローズ,194,72,1,2015/06/01,,,,,,,,
04174300,配置用）台所用スポンジ３色セット抗菌Ｓ,配置用）台所用スポンジ３色セット抗菌Ｓ,550,204,1,2015/06/01,,,,,,,,
04174400,配置用）エコスポンジ・ミニピンク,配置用）エコスポンジ・ミニピンク,237,88,1,2015/06/01,,,,,,,,
04174500,配置用）レンジまわりふきんピンク１枚入,配置用）レンジまわりふきんピンク１枚入,410,152,1,2015/06/01,,,,,,,,
04174600,配置用）天然抗菌水切りネット（２０枚入,配置用）天然抗菌水切りネット（２０枚入,486,180,1,2015/06/01,,,,,,,,
18982300,サンナ　スプーン（1000本入り）,サンナ　スプーン（1000本入り）,0,4000,1,2015/06/01,,,,,,,,
18982500,冷蔵庫トレー,冷蔵庫トレー,0,2500,10,2015/06/01,,,,,,,,
18982800,東洋水　割り箸（４８００本入り）,東洋水　割り箸（４８００本入り）,0,8500,1,2015/06/01,,,,,,,,
18962500,アイリ　メンソールマスクゆずジンジャＭ,アイリ　メンソールマスクゆずジンジャＭ,400,240,96,2015/06/01,2015/06/21,,082,資格,,,,
18962600,アイリ　メンソールマスクユーカリＭ,アイリ　メンソールマスクユーカリＭ,400,240,96,2015/06/01,2015/06/21,,082,資格,,,,
18958300,井村屋　缶カスタードプリン,井村屋　缶カスタードプリン,150,97,32,2015/06/01,,,,,,,,
18958400,井村屋　缶チョコレートプリン,井村屋　缶チョコレートプリン,150,97,32,2015/06/01,,,,,,,,
18958500,井村屋　カップおしるこ,井村屋　カップおしるこ,110,77,40,2015/06/01,,,,,,,,
18958600,農心ジ　辛ラーメン,農心ジ　辛ラーメン,150,104,24,2015/06/01,,,,,,,,
18958700,農心ジ　コムタンラーメン,農心ジ　コムタンラーメン,150,104,24,2015/06/01,,,,,,,,
18958800,農心ジ　韓国のりラーメン,農心ジ　韓国のりラーメン,150,104,24,2015/06/01,,,,,,,,
18958900,農心ジ　参鶏湯ラーメン,農心ジ　参鶏湯ラーメン,150,104,24,2015/06/01,,,,,,,,
18952200,配置用）タマゴスープ,配置用）タマゴスープ,86,54,10,2015/06/01,,,,,,,,
18952300,配置用）なすのみそ汁,配置用）なすのみそ汁,102,64,10,2015/06/01,,,,,,,,
18952400,配置用）もずくスープ,配置用）もずくスープ,102,64,10,2015/06/01,,,,,,,,
7777777,亀田7777777,亀田7777777,100,69,40,,,,,,,,,
7777778,日本7777888,日本7777888,150,90,24,,2016/12/29,,,,,,,
7777779,日本7777888,日本7777888,150,90,24,,2016/12/29,,,,,,,
7777780,日本7777888,日本7777888,150,90,24,,2016/12/31,,,,,,,
18870300,亀田製　揚一番,亀田製　揚一番,100,71,40,2017/01/23,,,,,002,メーカー名02,,
18870400,亀田製　ソフトサラダミニ,亀田製　ソフトサラダミニ,100,72,40,2017/01/23,,,,,002,メーカー名02,,
18870500,亀田製　海苔巻バラエティー,亀田製　海苔巻バラエティー,100,72,40,2017/01/23,,,,,002,メーカー名02,,
18870700,亀田製　亀田の柿の種梅しそ,亀田製　亀田,100,69,40,2017/01/23,,,,,002,メーカー名02,,
18880300,【テ】小鉢デリ　チキンと彩り豆のトマト煮,【テ】小鉢デリ　チキンと彩り豆のトマト煮,200,137,30,2016/06/06,,,088,８８８,002,メーカー名02,,
18870600,亀田製　切りもち揚,亀田製　切りもち揚,100,70,40,2017/01/23,,,,,082,ーカー名,,
18883200,アイリ　おいしいごはん,アイリ　おい,150,90,24,2017/01/23,,,082,資格,082,ーカー名,,
18870100,亀田製　サラダうす焼777,亀田製　サラダうす焼777,102,69,40,2019/01/23,,,,,001,メーカー名,,
18870200,亀田製　えびうす焼777,亀田製　えびうす焼777,102,69,40,2019/01/23,,,,,001,メーカー名,,
04173900,配置用）台所用洗剤３００ｍｌ,配置用）台所用洗剤３００ｍｌ,367,136,1,2015/06/01,,,,,001,メーカー名,3,その他
04174000,配置用）台所用洗剤詰替用２５０ｍｌ,配置用）台所用洗剤詰替用２５０ｍｌ,302,112,1,2015/06/01,,,,,001,メーカー名,,
